size,key,keyX,keyY,inputX,inputY,offsetX,offsetY
0.8,t,-28.8,115.2,-86,115,-57.2,-0.199987
0.8,w,-201.6,115.2,-253,132,-51.4,16.8
0.8,i,144,115.2,121,114,-23,-1.19998
0.8,a,-230.4,38.4,-242,52,-11.6,13.6
0.8,s,-172.8,38.4,-77,12,95.8,-26.4
0.8,l,230.4,38.4,221,42,-9.39997,3.60005
0.8,m,144,-38.4,158,-54,14,-15.6
0.8,m,144,-38.4,159,-11,15,27.4
0.8,t,-28.8,115.2,-51,141,-22.2,25.8
0.8,q,-259.2,115.2,-249,130,10.2,14.8
0.8,t,-28.8,115.2,-35,116,-6.19999,0.80001
0.8,m,144,-38.4,177,-32,33,6.40002
0.8,b,28.8,-38.4,45,-41,16.2,-2.59999
0.8,a,-230.4,38.4,-244,36,-13.6,-2.4
0.6,w,-151.2,86.4,-100,95,51.2,8.60005
0.6,o,151.2,86.4,229,121,77.8,34.6
0.6,f,-43.2,28.8,-57,14,-13.8,-14.8
0.6,l,172.8,28.8,187,27,14.2,-1.8
0.6,f,-43.2,28.8,-28,27,15.2,-1.8
0.6,o,151.2,86.4,179,83,27.8,-3.39999
0.6,d,-86.4,28.8,-38,42,48.4,13.2
0.6,n,64.8,-28.8,35,-4.99997,-29.8,23.8
0.6,s,-129.6,28.8,-73,55.0001,56.6,26.2001
0.6,a,-172.8,28.8,-93,65,79.8,36.2
0.6,t,-21.6,86.4,-41,134,-19.4,47.6
0.6,f,-43.2,28.8,8.00002,22,51.2,-6.79997
0.6,g,0,28.8,26,15,26,-13.8
0.6,i,108,86.4,142,83,34,-3.39999
0.6,t,-21.6,86.4,-21,81,0.599996,-5.39998
0.6,w,-151.2,86.4,-160,98,-8.80001,11.6
0.6,t,-21.6,86.4,-5,132,16.6,45.6001
0.6,p,194.4,86.4,213,91,18.6,4.60003
0.6,o,151.2,86.4,109,60,-42.2,-26.4
0.6,d,-86.4,28.8,-81,24,5.39996,-4.79999
0.6,t,-21.6,86.4,-14,85,7.6,-1.39998
0.6,f,-43.2,28.8,-6,38,37.2,9.20003
0.6,b,21.6,-28.8,29,-15,7.4,13.8
0.6,w,-151.2,86.4,-151,63,0.199973,-23.4
0.6,j,86.4,28.8,126,17,39.6,-11.8
0.6,q,-194.4,86.4,-166,132,28.4,45.6001
0.6,h,43.2,28.8,40,19,-3.19998,-9.8
0.6,i,108,86.4,109,107,0.999994,20.6
0.6,j,86.4,28.8,48,26,-38.4,-2.80001
0.6,l,172.8,28.8,159,26,-13.8,-2.80001
0.6,e,-108,86.4,-129,111,-21,24.6
0.6,e,-108,86.4,-62,97.0001,46,10.6001
0.6,t,-21.6,86.4,-32,128,-10.4,41.6
0.6,q,-194.4,86.4,-222,112,-27.6,25.6
0.6,b,21.6,-28.8,26,12,4.40001,40.8
0.6,f,-43.2,28.8,-8,37,35.2,8.20003
0.6,j,86.4,28.8,84,31,-2.39998,2.2
0.6,o,151.2,86.4,121,62,-30.2,-24.4
0.6,t,-21.6,86.4,4.99998,108,26.6,21.6
0.6,l,172.8,28.8,116,30,-56.8,1.20004
0.6,d,-86.4,28.8,-74,44,12.4,15.2
0.6,a,-172.8,28.8,-125,84,47.8,55.2
0.6,p,194.4,86.4,174,98,-20.3999,11.6
0.6,w,-151.2,86.4,-140,89,11.2,2.60002
0.6,t,-21.6,86.4,10,102,31.6,15.6
0.6,e,-108,86.4,-67,87.0001,41,0.600054
0.6,t,-21.6,86.4,-27,127,-5.4,40.6
0.6,f,-43.2,28.8,-40,25,3.2,-3.79996
0.6,i,108,86.4,76,61,-32,-25.4
0.6,w,-151.2,86.4,-159,66,-7.80002,-20.4
0.6,y,21.6,86.4,22,82.0001,0.399997,-4.39995
0.6,a,-172.8,28.8,-189,40,-16.2,11.2
0.6,y,21.6,86.4,-5,78,-26.6,-8.39999
0.6,t,-21.6,86.4,-64,95,-42.4,8.60005
0.6,t,-21.6,86.4,-33,118,-11.4,31.6
0.6,m,108,-28.8,126,-9,18,19.8
0.4,b,14.4,-19.2,57,-98,42.6,-78.8
0.4,i,72,57.6,54,91,-18,33.4
0.4,d,-57.6,19.2,-40,21,17.6,1.80001
0.4,n,43.2,-19.2,80,-54,36.8,-34.8
0.4,t,-14.4,57.6,-26,68,-11.6,10.4
0.4,r,-43.2,57.6,-29,60,14.2,2.40002
0.4,a,-115.2,19.2,-155,31,-39.8,11.8
0.4,n,43.2,-19.2,59,-9.99997,15.8,9.20003
0.4,t,-14.4,57.6,-17,53,-2.59999,-4.59998
0.4,t,-14.4,57.6,-20,71,-5.60001,13.4
0.4,p,129.6,57.6,171,95,41.4,37.4
0.4,p,129.6,57.6,113,41,-16.6,-16.6
0.4,y,14.4,57.6,10,51,-4.39999,-6.59999
0.4,d,-57.6,19.2,-16,11,41.6,-8.2
0.4,o,100.8,57.6,89,67,-11.8,9.40004
0.4,b,14.4,-19.2,-10,-16,-24.4,3.19999
0.4,m,72,-19.2,107,-67,35,-47.8
0.4,f,-28.8,19.2,-33,20,-4.19999,0.800041
0.4,p,129.6,57.6,114,52,-15.6,-5.59999
0.4,t,-14.4,57.6,-6,23,8.4,-34.6
0.4,v,-14.4,-19.2,-12,7.00003,2.39999,26.2
0.4,y,14.4,57.6,1.99998,95,-12.4,37.4
0.4,m,72,-19.2,83,-12.9999,11,6.20006
0.4,b,14.4,-19.2,14,-2.99997,-0.399983,16.2
0.4,g,0,19.2,22,39,22,19.8
0.4,o,100.8,57.6,85,69,-15.8,11.4
0.4,t,-14.4,57.6,-2.00001,12,12.4,-45.6
0.4,f,-28.8,19.2,-53,3.05176e-005,-24.2,-19.2
0.4,b,14.4,-19.2,-7.00001,-15,-21.4,4.2
0.4,w,-100.8,57.6,-87,43,13.8,-14.6
0.4,j,57.6,19.2,45,-7.99997,-12.6,-27.2
0.4,q,-129.6,57.6,-135,91,-5.40003,33.4
0.4,t,-14.4,57.6,-11,53,3.4,-4.59998
0.4,q,-129.6,57.6,-120,65,9.59999,7.40002
0.4,b,14.4,-19.2,53,17,38.6,36.2
0.4,f,-28.8,19.2,3,33,31.8,13.8
0.4,j,57.6,19.2,64,32,6.39999,12.8
0.4,o,100.8,57.6,114,70.0001,13.2,12.4001
0.4,t,-14.4,57.6,8.99999,41,23.4,-16.6
0.4,l,115.2,19.2,97,21,-18.2,1.80001
0.4,d,-57.6,19.2,-28,27,29.6,7.80001
0.4,t,-14.4,57.6,-14,90,0.400003,32.4
0.4,t,-14.4,57.6,-2.00001,57,12.4,-0.599962
0.4,g,0,19.2,-6,27,-6,7.80001
0.4,s,-86.4,19.2,-73,43,13.4,23.8
0.4,m,72,-19.2,108,-37.9999,36,-18.7999
0.4,w,-100.8,57.6,-30,68,70.8,10.4
0.4,f,-28.8,19.2,3,28,31.8,8.80001
0.4,i,72,57.6,117,87,45,29.4
0.4,t,-14.4,57.6,-8,89,6.4,31.4
0.4,w,-100.8,57.6,-77,59,23.8,1.39999
0.4,y,14.4,57.6,-11,46,-25.4,-11.6
0.4,y,14.4,57.6,14,56,-0.399983,-1.59999
0.4,a,-115.2,19.2,-85,27,30.2,7.80001
0.4,v,-14.4,-19.2,6,3,20.4,22.2
0.4,s,-86.4,19.2,-87,24,-0.600019,4.8
